小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary)
390,['46225'],27.E078,,b'\xee\x81\xb8'
391,['1069'],27.82B9,芹,b'\xe8\x8a\xb9'
392,['11598'],27.85BD,薽,b'\xe8\x96\xbd'
393,['10162'],27.8526,蔦,b'\xe8\x94\xa6'
393,['29627'],27.E079,,b'\xee\x81\xb9'
394,['1074'],27.82B8,芸,b'\xe8\x8a\xb8'
395,['46307'],27.E07A,,b'\xee\x81\xba'
396,['8966'],27.844E,葎,b'\xe8\x91\x8e'
397,['7032'],27.8326,茦,b'\xe8\x8c\xa6'
398,['45582'],27.E07B,,b'\xee\x81\xbb'
399,['8935'],27.8451,葑,b'\xe8\x91\x91'
400,['4814'],27.85BA,薺,b'\xe8\x96\xba'
401,['8272'],27.83BF,莿,b'\xe8\x8e\xbf'
402,['10735'],27.856B,蕫,b'\xe8\x95\xab'
403,['12771'],27.863B,蘻,b'\xe8\x98\xbb'
404,['46373'],27.E07C,,b'\xee\x81\xbc'
405,['5773'],27.8290,芐,b'\xe8\x8a\x90'
406,['11233'],27.859F,薟,b'\xe8\x96\x9f'
406,['12465'],27.861E,蘞,b'\xe8\x98\x9e'
407,['8290'],27.83F3,菳,b'\xe8\x8f\xb3'
408,['6125'],27.82A9,芩,b'\xe8\x8a\xa9'
