楷書編號(網址),小篆編號,筆畫
5859,3906,8
806,3909,8
29096,3911,8
716,3985,8
716,3985,8
1088,3992,8
6147,3999,8
50145,4007,8
50146,4016,8
1090,4028,8
1087,4031,8
6143,4035,8
1039,4043,8
6145,4046,8
50148,4066,8
50154,4088,8
717,4089,8
6144,4097,8
6146,4119,8
50152,4135,8
1089,4139,8
5976,4169,8
1674,4170,8
1674,4170,8
5974,4172,8
5977,4198,8
940,4200,8
935,4216,8
935,4216,8
5973,4218,8
933,4229,8
31622,4232,8
936,4233,8
941,4237,8
5975,4240,8
5971,4241,8
937,4252,8
943,4253,8
1673,4280,8
1673,4280,8
6108,4295,8
938,4302,8
938,4302,8
815,4307,8
26607,4311,8
20655,4313,8
20655,4313,8
762,4323,8
6105,4323,8
1014,4338,8
482,4349,8
482,4349,8
482,4349,8
5925,4350,8
39553,4385,8
39560,4395,8
39550,4404,8
39544,4410,8
377,4419,8
6096,4435,8
5954,4501,8
43979,4502,8
29081,4507,8
27080,4534,8
845,4541,8
27076,4547,8
841,4553,8
5896,4556,8
27075,4565,8
843,4576,8
843,4576,8
843,4576,8
5897,4597,8
840,4600,8
27073,4601,8
844,4602,8
1042,4628,8
1043,4648,8
6097,4659,8
1028,4705,8
40248,4706,8
757,4787,8
1046,4789,8
1046,4789,8
682,4791,8
5918,4834,8
5919,4844,8
859,4861,8
5920,4862,8
25240,4866,8
858,4877,8
862,4885,8
25236,4897,8
861,4903,8
1115,4926,8
1115,4926,8
5797,4931,8
747,4934,8
5810,4950,8
737,4953,8
5798,4954,8
5808,4968,8
5802,4969,8
740,5001,8
20685,5004,8
753,5008,8
5816,5013,8
745,5017,8
20651,5019,8
735,5022,8
5799,5024,8
5803,5025,8
736,5027,8
5818,5030,8
5814,5031,8
5812,5036,8
744,5044,8
5813,5045,8
5822,5046,8
738,5074,8
20750,5082,8
5815,5097,8
20674,5100,8
20662,5101,8
748,5102,8
746,5106,8
5804,5133,8
