字體編號,楷書字體編號,楷書字型
27.91CB,0.91CB,釋
27.534A,0.534A,半
27.80D6,0.80D6,胖
27.53DB,0.53DB,叛
27.725B,0.725B,牛
27.7261,0.7261,牡
27.7285,0.7285,犅
27.7279,0.7279,特
27.725D,0.725D,牝
27.72A2,0.72A2,犢
27.E0D1,3.E3B1,㸬
27.E0D2,3.E472,犙
27.E0D3,3.E3D6,牭
27.E0D4,3.E473,㹑
27.7297,0.7297,犗
27.727B,0.727B,牻
27.E0D5,3.E41E,㹁
27.72A1,0.72A1,犡
27.E0D6,3.E3FE,𤙛
27.7296,0.7296,犖
27.E0D7,3.E402,㸹
27.E0D8,3.E3CF,𤘾
27.72A5,0.72A5,犥
27.7289,0.7289,犉
27.E0D9,3.E459,㹊
27.E0DA,3.E488,㹔
27.E0DB,3.E3E4,𤘸
27.72A8,0.72A8,犨
27.725F,0.725F,牟
27.E0DC,3.E46B,㹌
27.7272,0.7272,牲
27.7277,0.7277,牷
27.727D,0.727D,牽
27.727F,0.727F,牿
27.7262,0.7262,牢
27.7293,0.7293,犓
27.E0DD,3.E4A9,㹛
27.7295,0.7295,犕
27.E0DE,7.EB09,𤛿
27.E0DF,3.E40E,㹃
27.E0E0,3.E491,㹗
27.7274,0.7274,牴
27.E0E1,3.E49B,𤜂
27.E0E2,3.E40B,㹂
27.727C,0.727C,牼
27.E0E3,3.E3C0,𤘡
27.7280,0.7280,犀
27.7263,0.7263,牣
27.7269,0.7269,物
27.72A7,0.72A7,犧
27.728D,0.728D,犍
27.729D,0.729D,犝
27.729B,0.729B,犛
27.6C02,0.6C02,氂
27.6584,0.6584,斄
27.E0E4,1.E1B6,𠩬
27.544A,0.544A,告
27.56B3,0.56B3,嚳
27.53E3,0.53E3,口
27.566D,0.566D,噭
27.5663,0.5663,噣
27.5599,0.5599,喙
27.543B,0.543B,吻
27.E0E5,3.EBBA,𦝮
27.56A8,0.56A8,嚨
27.5589,0.5589,喉
27.5672,0.5672,噲
27.541E,0.541E,吞
27.54BD,0.54BD,咽
27.55CC,0.55CC,嗌
27.EDF6,0.55CC,嗌
27.E0E6,1.F257,喗
27.54C6,0.54C6,哆
27.5471,0.5471,呱
27.557E,0.557E,啾
27.55A4,0.55A4,喤
27.54BA,0.54BA,咺
27.5534,0.5534,唴
27.54B7,0.54B7,咷
27.5591,0.5591,喑
27.E0E7,1.F3B8,㘈
27.54B3,0.54B3,咳
27.5B69,0.5B69,孩
27.55DB,0.55DB,嗛
27.5480,0.5480,咀
27.555C,0.555C,啜
