小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary),小篆部件,楷書部件
225,['8455'],27.96F0,雰,b'\xe9\x9b\xb0',八刀雨,儿刀雨
226,['41'],27.58EB,士,b'\xe5\xa3\xab',一十,土
227,['23071'],27.E047,,b'\xee\x81\x87',一一人人入土皿臣臼≠,一人皿臣金
227,['2515'],27.5A7F,婿,b'\xe5\xa9\xbf',女止肉︰,女月疋
228,['541'],27.58EF,壯,b'\xe5\xa3\xaf',一十爿,土爿
229,['9817'],27.58FF,壿,b'\xe5\xa3\xbf',一十又酉∵,儿土寸酉
230,['19897'],27.F510,,b'\xef\x94\x90',,
231,['67'],27.4E2D,中,b'\xe4\xb8\xad',口,中
231,['67'],27.F35F,,b'\xef\x8d\x9f',,
231,['67'],27.F2E7,,b'\xef\x8b\xa7',,
232,['35901'],27.E048,,b'\xee\x81\x88',,一人臣网金
233,['5413'],27.5C6E,屮,b'\xe5\xb1\xae',屮,屮
234,['120'],27.5C6F,屯,b'\xe5\xb1\xaf',一屮,屯
235,['632'],27.6BCF,每,b'\xe6\xaf\x8f',屮女﹉,人毋
236,['1307'],27.6BD2,毒,b'\xe6\xaf\x92',一十屮女﹊,毋
236,['46159'],27.E049,,b'\xee\x81\x89',,
237,['1071'],27.F0EE,,b'\xef\x83\xae',八刀屮,儿刀屮
237,['1071'],27.82AC,芬,b'\xe8\x8a\xac',八刀屮屮,儿刀艸
238,['27896'],27.F041,,b'\xef\x81\x81',入八屮,儿屮
238,['27896'],27.E04A,,b'\xee\x81\x8a',,
239,['9421'],27.718F,熏,b'\xe7\x86\x8f',屮火火,熏
240,['5569'],27.8278,艸,b'\xe8\x89\xb8',屮屮,艸
241,['2349'],27.838A,莊,b'\xe8\x8e\x8a',一十屮屮爿,土爿艸
241,['37617'],27.E04B,,b'\xee\x81\x8b',,斤斤貝金
242,['9590'],27.84CF,蓏,b'\xe8\x93\x8f',屮屮瓜瓜,瓜瓜艸
243,['1064'],27.829D,芝,b'\xe8\x8a\x9d',屮屮之,之艸
244,['8267'],27.8410,萐,b'\xe8\x90\x90',又屮屮屮止,艸疌
245,['2356'],27.8386,莆,b'\xe8\x8e\x86',卜又口屮屮﹔,艸甫
246,['13039'],27.864B,虋,b'\xe8\x99\x8b',八刀屮屮酉爨,儿刀臼艸酉
247,['7049'],27.8345,荅,b'\xe8\x8d\x85',一入口屮屮,一人口艸
248,['8273'],27.8401,萁,b'\xe8\x90\x81',屮屮其,儿艸
249,['12240'],27.85FF,藿,b'\xe8\x97\xbf',藿,艸雨隹
250,['7648'],27.83A5,莥,b'\xe8\x8e\xa5',屮屮犬丑,犬丑艸
251,['45995'],27.E04D,,b'\xee\x81\x8d',一入土屮雨｛≠,一金黍
251,['8187'],27.7A02,稂,b'\xe7\xa8\x82',屮﹨｛,一禾艮
252,['2352'],27.83A0,莠,b'\xe8\x8e\xa0',乃屮屮屮｛,一禾艸
253,['8284'],27.8409,萉,b'\xe8\x90\x89',屮屮肉,月巴艸
253,['12833'],27.9EC2,黂,b'\xe9\xbb\x82',屮屮屮貝,十廾貝麻
254,['5778'],27.8293,芓,b'\xe8\x8a\x93',屮屮子,子艸
255,['46303'],27.E04E,,b'\xee\x81\x8e',,
256,['5099'],27.8607,蘇,b'\xe8\x98\x87',屮屮屮魚｛,禾艸魚
257,['1876'],27.834F,荏,b'\xe8\x8d\x8f',人屮屮壬,一人土艸
258,['45518'],27.E04F,,b'\xee\x81\x8f',,
259,['46059'],27.E050,,b'\xee\x81\x90',,
260,['3213'],27.8475,葵,b'\xe8\x91\xb5',屮屮癸,一大艸
261,['46686'],27.E051,,b'\xee\x81\x91',,
262,['10148'],27.84FC,蓼,b'\xe8\x93\xbc',人屮屮羽,人艸羽
